primary,keywords,snippet,station,NationalNetwork,month,date,start_time,end_time,program_title,MarketName
American Indian,American Indian,"… all said and done in arizona. >> ag chris may says money is clearly the motive the sober living scheme new suspension notices obtained by fox ten reveal more detailed allegations like misdiagnosing patients for benefit of payment providing payments for business billing for incarcerated members and billing under another national provider id. this this is about turning the spigot off because these criminals know that there's a honey pot at access that they can go to a medicaid honey pot in arizona by targeting vulnerable people fighting addictions, recruiting native americans off tribal reservations to sign up for the american indian health plan under access last december, we saw several more suspects charged with patient brokering, accused of negotiating lucrative deals undercover agents send 75 patients a fake rehab center 300 bucks per person day. reporting showed how victims are enticed with alcohol, drugs and money. i asked if this scheme is linked to organized crime out of the country. we are aware of national and international criminal connections access has told fox ten. it continues to overhaul its systems to recognize red flags and fraud. says more be done. we could be using i to identify fraud, to identify patterns …",KSAZ,FOX,Jan,2024-01-22,21:00:00,22:00:00,FOX 10 News @ 9pm,"Phoenix, AZ"
American Indian,American Indian; Indigenous,"… that's just what we saw. all right. in that jet stream forecast. so 20's, 30's for overnight lows tonight. not bad out there tomorrow, get out, get fit forecast presented by logan health the most in the 30's in missoula, some 40's hair then for our high temperatures best chance of rain tomorrow northwest montana as we get closer to the montana idaho border could see some fog in the morning as well. and many of us seeing highs in the 40's missoula. 41 on your saturday 42 sunday mid to upper 40's in as we go into next week. kalispell 38 saturday. 42 sunday, 43 monday and tuesday hamilton. we have 41 tomorrow 46 sunday 47 by monday and tuesday. >> so looted services sponsored by flood-hit electric co-operative. >> north valley music school in whitefish has created a scholarship that focus is helping american indian music students. the american indian music scholarship will provide musical opportunities to more montanans and hopefully allow for more of montana's culture to be shared through music. 2, 5 $100 scholarships will be awarded to high school or college students who are pursuing a professional degree in music and come from american indian heritage. >> the scholarship was founded not only to encourage the pursuit of music, education. but to provide funding for american indians and indigenous communities to enable further public awareness of the diverse musical contributions of montanans american indians to the culture of our state and region. >> the applications for this scholarship are due march 31st. you can visit north valley music schools website for more information about the requirements. it is all about basketball. after the break. first with a feature about a breakout star for the grizz men's team. and then you can see. >> the big 4 about curry's and how dominating on another level that's all next on capex. >> are today's closing stock prices from mtn news. this …",KPAX,CBS,Jan,2024-01-26,22:00:00,22:35:00,KPAX 10:00 News,"Missoula, MT"
American Indian,American Indian; Native American,"… thrilled that the goat was is safely brought down from the roof and now you know the goat is safe >> desiree fluellen, ten news update to a story that we've been covering since early 2023. >> fox ten investigator justin lum has learned that nearly 40 people are being evicted at the canal on baseline. condos in mesa. as we've been reporting, they have been used to these condos as unlicensed sober living homes. more fallout from the sober living crisis this, according to arizona's medicaid agency, access the provider responsible for housing these individuals is arizona behavioral health clinic, llc suspended payment to them last month over credible accusations of fraud. state's crackdown is coming as hundreds of fake rehab homes and facilities popped up across the valley advantage of vulnerable people with addictions using their information to build access victims are native american and enrolled in the american indian health scheme, though, has defrauded arizona for 100 of millions of dollars tells fox ten that the 211 hotline ready those by closures of sober living homes call 211 and press across arizona a dot is proposing a new plan to improve state route 88. the $4 million investment would restore limited access to five miles of the apache trail in 2019. parts of that trail were damaged because of flooding will help with more extensive upgrades needed to make the road more accessible. adot is planning to meet with county officials this friday to talk about the plan and …",KSAZ,FOX,Jan,2024-01-09,22:30:00,23:00:00,Fox 10 News @ 10:30 PM,"Phoenix, AZ"
American Indian,American Indian,"… victim at that time. >> made my way back to the house and found these other victims that i was unaware of to that point. >> reporter: firefighters like jake, >> and mason conlin helped get the six children out of the home. >> it was unbelievable, i'm completely honored to stand alongside the men and women of this department, and the efforts that they put forward that morning, speaks for itself. >> reporter: on the same day we hear from rescuers for the first time, a community gathering shows the lasting support for the family. it was at the american indian magnet school the same school children attend now hosting a candlelight vigil and fundraiser for the family. >> my challenge to you is do you look to your left and right and no that we have all off these children. >> reporter: a family spokesperson says the family for-year-old daughter is now alert while the mother and her six-year-old son remain unconscious in the hospital. >> we will pull together and do our very best to continue to support. >> reporter: in st. paul, wcco news. >>> the st. paul fire department says they will be working on fire prevention …",WCCO,CBS,Jan,2024-01-13,22:00:00,22:35:00,WCCO 4 News at Ten,"Minneapolis, MN"
American Indian,American Indian,"… regas, fox ten news lindsey thank you. >> an update now to a story that we've been covering since early last year canal on baseline condo units in mesa used as unlicensed sober living homes. ten investigator justin lum has learned that nearly 40 people are in the process of being evicted from those units fallout the sober living crisis. according to arizona's medicaid agency access provider responsible for housing, these individuals is arizona behavioral health clinic, llc. suspended payments to them last month to investigate allegations of fraud of the victims are native americans and they're enrolled in the american indian health plan. scheme has defrauded arizona for hundreds of millions of dollars. tells fox ten that the 211 hotline is ready. now. for those who are affected by closures of sober living homes, call 211 and press seven. the university of arizona has reached a multi-million dollar deal with the family of a professor, shot and killed on the tucson campus agreement includes an unspecified amount of money. family of thomas meissner also have a say on new safety measures at the university family, previously filed a $9 million claim, and police say a former grad meisner in the fall …",KSAZ,FOX,Jan,2024-01-09,21:00:00,22:00:00,FOX 10 News @ 9pm,"Phoenix, AZ"
American Indian,American Indian; Indigenous,"… we saw making to have literally get the opportunity to speak some black. the language is amazing. on sunday evening at the golden globes awds ceremony, the first of its kind to very needed. we're in. so when the. >> but that accurate? i mean, it not ouand perform but it for e entire mmcounity.need and i think that to you glstone was born in kaliell and group on the blackfeet indian reservation. now she center stage in hollywood being recognized for her performance in the 2023 hit llers of the flower moon. a feat not lost on superman and indigenous rapper from montana who also has established a national following win. it's a win for them to come motion. black feats. >> you know, for native women, of course, and montana itself. but it's about a lot more than the award. it was a historical move. and i'm glad that the golden globes is start to acknowledge the talent that comes out in brings plenty is best known for his role in paramount's hit tv show yellowstone. he also made history last year at the golden globes being the first american indian percent are to be presented. that was a first for me the first for the golden gloves. and it's 17, 80 history. he hopes this wind will serve a purpose highlighting the talent that comes out of indian country. people think about american indian people, their minds jumped to the past. but here we very much in the present and we're very much cold system with every want something other indigenous community members also spoke delete it, but for it to the bility. >> understanding xi, asian or native, there fraud cultural congregation was >> a huge win. not for just her, but just for all of us. a proud moment that is hopefully just the start to year 0. the golden glove said made history gave us the opportunity is indian people are native people to make. history are walking side-by-side with. we are trying to achieve the same things that you are trying to achieve as well in billions. kelsey boggs, mtn news. >> and joining again, we're talking …",KXGN,CBS,Jan,2024-01-09,22:00:00,22:35:00,KTVQ 10:00 News,"Glendive, MT"
American Indian,American Indian,"… history come together. we are at a place that i call the jungle podocytes. it's on the national register of historic places as the jungle prada site. it was part of a tocobaga indian village for about 600 years, roughly 1000 to 1600 a.d. it's recognized as a spanish landing site. the narvaez expedition landed in the year 1528, and i give tours of the park people know as sacred lands and this was a village in the 1500s. these were the people living in florida when the very first europeans arrived. we have what i call the best preserved american indian mound in tampa bay. it's 900ft long, 300ft wide, 25ft tall, and covered in artifacts like pottery and shell tools. and my family has made it our mission to be the conservators, be the be the caretakers of this mound on private land. i have three pieces of pottery. this one i like to pass because it has the lip of the pot. i've been doing a history tour here for the last six years, since 2017, when people come for the tour, i first like to give them an overview of the history. so i talk a little bit …",WTVT,FOX,Jan,2024-01-21,22:00:00,23:00:00,FOX 13 10:00 News,"Tampa Bay, FL"
American Indian,American Indian,"… be okay. the roads snowy and icy. when it happened. the saint paul family is mourning loss of four children after a fire their home and today loved ones gathered to remember them in a heartfelt vigil. we're also hearing from the first responders who went into the home to get the family out during the fire. but fuyang the community's pain and, how first responders are giving back . a moment of for the four children taken too soon. can we comprehend losing four family members in one day as a parent it is beyond understanding dozens gathered at american indian magnet school saint paul, where two of those children went to school. their mother, also a staff member very sad to lose those two beautiful girls who loved coloring, loved to school in their matching beautiful dresses. the pain and heartbreak swept across city, including those who responded. tragic day. at that time, i found house to be completely zero visibility firefighter ricks recalls entering the burning home, pulling out multiple children. found my first pediatric victim . i moved them from the home handed them to a firefighter at the front door. meanwhile, captain joel waters rescued the mother …",KSTP,ABC,Jan,2024-01-13,22:00:00,22:35:00,5 Eyewitness News at 10,"Minneapolis, MN"
American Indian,American Indian; Indigenous,"… making to have literally get the opportunity to speak some black. the language is amazing. on sunday evening at the golden globes awards ceremony, the first of its kind to very needed. we're in. so when the. >> but that accurate? i mean, it not out and perform but it for the entire need community. and i think that to you gladstone was born in kalispell and group on the blackfeet indian reservation. now she center stage in hollywood being recognized for her performance in the 2023 hit killers of the flower moon. a feat not lost on superman and indigenous rapper from montana who also has established a national following win. it's a win for them to come motion. black feats. >> you know, for native women, of course, and montana itself. but it's about a lot more than the award. it was a historical move. and i'm glad that the golden globes is start to acknowledge the talent that comes out in brings plenty is best known for his role in paramount's hit tv show yellowstone. he also made history last year at the golden globes being the first american indian percent are to be presented. that was a first for me the first for the golden gloves. and it's 17, 80 history. he hopes this wind will serve a purpose highlighting the talent that comes out of indian country. people think about american indian people, their minds jumped to the past. but here we very much in the present and we're very much cold system with every want something other indigenous community members also spoke delete it, but for it to the bility. >> understanding xi, asian or native, there fraud cultural congregation was >> a huge win. not for just her, but just for all of us. a proud moment that is hopefully just the start to year 0. the golden glove said made history gave us the opportunity is indian people are native people to make. history are walking side-by-side with. we are trying to achieve the same things that you are trying to achieve as well in billions. kelsey boggs, mtn news. >> and joining again, we're talking …",KTVQ,CBS,Jan,2024-01-09,22:00:00,22:35:00,10:00 News,"Billings, MT"
American Indian,American Indian; Indigenous,"… get the opportunity to speak some black. the language is amazing on sunday evening at the golden globes awards ceremony. the first of its kind to needed we're in. so when the. >> below for the best actor i mean, did not out and perform but it for the entire need community. and i think back to mall you really got stone was born in kalispell in group on the blackfeet indian reservation. now she center stage in hollywood being recognized for her performance in the 2023 hit killers of the flower moon a feat not lost on superman and indigenous rapper from montana who also has established a national following win. it's a win for them to come motion. black fees. >> you've for native women and of course, and montana itself. but it's about a lot more than the award. it was a historical move. and i'm glad that the golden globes is start to the knowledge that talent that comes out indian brings plenty is best known for his role in paramount's hit tv show yellowstone. he also made history last year at the golden globes being the first american indian presenter to be up to senator. that was a first for me i'm the first for the golden gloves and it's 17 80 history. he hopes this wind will serve a purpose highlighting the talent that comes out of indian country. people think about american indian people, their minds jump to the past. but here we very much in the present and we're very much cold system with everyone. something other indigenous community members also spoke the lake it, but for it to the bility understanding in xi asian or native area of broader cultural congregation was a huge win with no, not for just her but just all of us, a proud moment that is hopefully just the start 2 years in role the golden glove said made history again, less opportunity is indian people native people to make history are walking side by side with we're trying to achieve the same things that you are trying to achieve as well. in billings. kelsey boggs mtn news. >> montana grizzlies quarterback …",KPAX,CBS,Jan,2024-01-09,22:00:00,22:35:00,KPAX 10:00 News,"Missoula, MT"
American Indian,American Indian; Native American,"… back in new york musea. across the country. being put a notice. they need to cover up some more per. all of their nate of peace not all of the art were was re about through the most grace. of me. and the government wants to make sure the new are getting per. from tribes. and for 90 hassan. of asada found the cleveland museum of art is leading. the way the cleveland museum of art brings in people from far and wide. but today now all are are owned display. the in action in a lot law since 1990 what's happening now? is you protocols the museum put in a seeming and that can the native american display. isn't. in. direct response to the i'm updated 19 now nato a graves protection and repatriation act and other words. no we share some museums might, lead over would lake erie's native american council was pleased to see the risk it. right now. there are many not far adding that it's painful to see artifacts and p. of new american history. on display, knowing how it was secured it wasn't just give some didn't make yeah those were really really, i will be yell with the american indian movement of ohio feels the same way. it hurts it you know, is like our for me, i feel like our answer aren't being respected. our burial. so aren't being respected but he still. had. to see see the arm moving in the right direction. him. in and marine, just want their ended people to have a say in the piece. of the he teen to easier to get people there churn reporting in cleveland they d. never saw news 5 i love your dress.oh thanks! i splurged a little because liberty mutual customized my carinsurance and i saved hundreds. …",WSYX,ABC,Jan,2024-01-18,23:00:00,23:35:00,ABC 6 News at 11,"Columbus, OH"
American Indian,American Indian,"… to the house subcommittee on budgetary funding sober living scheme targeted vulnerable people with addiction to defraud arizona medicaid agency and lawmakers are now learning more about what's been done to clean up the near billion dollar mess ten investigator justin lum reports >> we are quickly approaching a. year since governor katie hobbs announced a major crackdown on fraudulent rehab centers, advantage of vulnerable people the issue is widespread and complex. now, more behavioral health funding and resources are being requested carmen heredia, the executive deputy director of arizona's medicaid agency, new details of blatant access fraud as we've assisted people that have been victims of these schemes, they've now self-reported that they are not in fact, american indian and that they were to enroll as such by bad actors. bad actors, heredia says, use shell companies trading clients to each other via access memberships. people enrolled in the american indian health plan scammers can charge the. state behavioral health services rarely provided the patients are the asset for these homes >> those are quite frankly, in our experience, they trade patients as if they were any other economic asset for the business. patient brokering is a crime. >> the attorney general's office explained the house appropriations subcommittee on budgetary funding. the assistant director of licensing at arizona's department of health there's been an increase in complaints unlicensed behavioral health, residential facilities sober living homes, expanding resources this past year, we've investigated a lot of allegations for these types of facilities …",KSAZ,FOX,Jan,2024-01-25,22:30:00,23:00:00,Fox 10 News @ 10:30 PM,"Phoenix, AZ"
American Indian,American Indian,"… today, specifically to the house subcommittee on budgetary funding >> the sober living scheme targeted vulnerable people with addictions defraud arizona's medicaid program now the push is on to clear and clean up near billion dollar fraud ten investigator justin lum has more >> we are quickly approaching a year since governor katie hobbs a major crackdown on fraudulent rehab centers, advantage of vulnerable people, the issue is widespread and complex now, more behavioral health funding resources are being requested, carmen heredia, the executive deputy director of arizona's medicaid agency new details of blatant access fraud. >> as we've assisted people that have been victims of these schemes, they've now self-reported that they are not in fact, american indian and that they were to enroll as such by bad actors. the bad actors, heredia says. >> you shall companies trading clients to each other access memberships people enrolled in the american indian health plan. scammers can charge the state behavioral health services, rarely provided the patients are the asset for these homes, those are, quite frankly, in our experience, they trade patients as if they were any other economic asset for the business patient brokering is a crime. the attorney general's office explained the house appropriations subcommittee on budgetary funding assistant director of licensing at arizona's department of health there's been an increase in complaints unlicensed behavioral health residential facilities sober living homes, resource uses this past year, we've invested a lot of allegations these types of facilities all these unlicensed, sober …",KSAZ,FOX,Jan,2024-01-25,21:00:00,22:00:00,FOX 10 News @ 9pm,"Phoenix, AZ"
American Indian,American Indian,"… back 6 months later the next part of the year. >> 3 cells in town through saturday. the last shoppers will get 50% off all items. but you might want to get there early to better items that are available. the tucson gem, mineral and fossil show is a collection of shows across tucson, featuring world-class minerals for you to look at possibly by also a great place to find traditional tribal nations crafts, kgun nine's madison thomas takes us to the show on the west side that features just that. after taking a walk up this hill to the american indian arts expo, visitors can find all sorts of different items from our distance from over 60 different tribes. this expo has been taking place for the last 38 years and includes music performances, food and of course, crafts all while sharing their culture. its organizer, fred synder also says he's a large turquoise collection. brings lots of attention, have turquoise there from over 60 different lines. >> many people have older items. they need a stone replace because broken man had a belt buckle made and he would like to have a made from the same mine. the expo runs …",KGUN,ABC,Jan,2024-01-31,22:00:00,22:35:00,KGUN 9 News at 10:00pm,"Tucson, AZ"
American Indian,Alaska Native; American Indian,"… rule of law to remain in office in a process akin to throwing spaghetti at the wall and seeing what sticks the republicans have cooked up vague, unprecedented grounds to impeach secretary mayorkas. >> a lot of legal experts question whether the grounds exist to bring such an action, but house republican leadership has promised to bring articles of impeachment to the floor quickly. mayorkas would be the first cabinet secretary to be impeached in nearly 150 years. >> the cdc is out with a stark warning about an epidemic of sexually transmitted diseases. the cdc says more than 2.5 million cases of chlamydia, gonorrhea and syphilis were reported in the us in 2022. while cases of gonorrhea dropped compared with a year earlier, the number of syphilis cases increased 7% to its highest level in decades. the cdc says the highest rate of syphilis is among american indian and alaska native people, with about 67 cases for every 100,000 people. >> more theme park fun headed to florida. universal orlando resort revealing the first official details of its new theme park, universal epic universe, which will be its fourth park in florida. the new park features five new worlds, more than 50 attractions, of course entertainment, dining, plenty of shopping. if you want to take some of that home with you. some of the new worlds come with themes, including adding harry potter. of course super nintendo and how to train your dragon in epic universe. expected to open sometime next …",WDIV,NBC,Jan,2024-01-30,23:00:00,23:35:00,Local 4 News at 11,"Detroit, MI"
American Indian,American Indian,"… still gathering the facts on the attack... but that the u-s would hold those responsible to account at a time and in a manner our choosing. michigan state housing development authority, also known as mshda, has announced the launch of the tribal nations housing development assiance program. the new program aims to expand affordable housing capacity for the 12 tribal nations in michigan with building new housing while also supporting needed upgrades to existing homes. the federal home loan bank of indianapolis is supporting this program with a grant of up to $3 million. mshda has also retained the national american indian housing council to develop a toolkit and offer a series of tailored trainings and one- on-one project and organizational technical assistance. tim klont, mshda's chief strategy and engagement officer: ""we wervery excited to receive a generous investment from the fedel home loan bank of indianapolis. what that grant is allowing us to do is offer some travel scholarships to participate in these in-person trainings because we don't wa the cost of travel or participation to be a barrier to anyone who wants to participate. we're also able to offer some pre- development grants to the participatg tribal nations. so they …",WJMN,CBS,Jan,2024-01-28,22:00:00,22:30:00,Local 3 News at 10PM,"Marquette, MI"
