article_id,date,outlet,outlet_type,journalist_id,topic,frame_type,tone,slant,breaking,visuals,length_words,clicks,shares,comments,engagement_index,high_engagement
a_00048,2026-01-02,Politico,digital_politics,j_09_006,Crime,Episodic,0.16,-0.137,0,1,555,275,59,16,4.6051,0
a_00049,2025-11-26,CNN,cable_news,j_06_032,Climate,Morality,0.0,-0.172,0,1,611,213,26,20,4.2806,0
a_00050,2025-12-13,The Daily Beast,digital_politics,j_19_014,Climate,Strategy/Game,0.179,-0.067,0,1,681,304,36,13,4.4712,0
a_00051,2025-12-10,AP News,wire_service,j_04_004,Immigration,Human Interest,-0.255,-0.03,0,0,589,297,38,33,4.6529,0
a_00052,2025-09-03,MSNBC,cable_news,j_08_004,Education,Responsibility,0.472,-0.766,0,1,810,501,48,44,5.0382,0
a_00053,2025-10-02,The Washington Post,legacy_mainstream,j_01_002,Immigration,Episodic,0.348,-0.337,0,0,999,231,29,9,4.2042,0
a_00054,2025-10-20,BuzzFeed News,digital_viral,j_15_017,Foreign Policy,Thematic,0.638,-0.43,0,1,579,164,15,11,3.8817,0
a_00055,2025-10-26,HuffPost,digital_viral,j_12_004,Climate,Economic Consequences,-0.098,-0.139,1,0,618,1061,206,126,6.0526,1
a_00056,2025-08-08,The Washington Post,legacy_mainstream,j_01_018,Technology,Strategy/Game,-0.065,-0.024,0,1,775,314,51,12,4.5746,0
a_00057,2025-11-03,AP News,wire_service,j_04_031,Climate,Thematic,0.478,0.064,0,0,562,59,13,3,3.1161,0
a_00058,2025-08-27,Vox,digital_explainer,j_11_014,Politics,Strategy/Game,0.127,-0.447,0,1,862,280,21,20,4.3554,0
a_00059,2025-12-07,Axios,digital_politics,j_10_017,Economy,Economic Consequences,-0.053,0.112,1,1,932,424,112,92,5.3508,1
a_00060,2025-11-27,The Guardian,international,j_16_018,Technology,Economic Consequences,0.166,-0.418,0,1,684,331,26,18,4.4802,0
a_00061,2026-01-07,NPR,public_media,j_05_002,Foreign Policy,Economic Consequences,-0.271,-0.485,1,0,703,587,52,56,5.1881,1
a_00062,2025-12-07,New York Post,tabloid,j_18_009,Immigration,Conflict,0.563,0.385,1,1,542,683,74,58,5.3747,1
a_00063,2025-10-03,MSNBC,cable_news,j_08_006,Politics,Episodic,0.375,-0.095,0,1,721,363,78,20,4.8683,0
a_00064,2026-01-15,The Guardian,international,j_16_026,Climate,Thematic,0.331,-0.063,0,0,555,179,26,14,4.1268,0
a_00065,2025-10-11,AP News,wire_service,j_04_010,Economy,Responsibility,0.417,-0.152,0,0,643,209,26,12,4.1753,0
a_00066,2025-09-26,The New York Times,legacy_mainstream,j_00_031,Education,Responsibility,0.39,0.045,0,0,936,195,20,12,4.0654,0
a_00067,2026-01-04,The Washington Post,legacy_mainstream,j_01_007,Foreign Policy,Episodic,0.217,-0.273,0,0,1061,988,83,32,5.4769,1
a_00068,2025-10-04,Fox News,cable_news,j_07_035,Climate,Morality,-0.209,0.513,1,1,1051,1233,248,90,6.1164,1
a_00069,2025-08-14,The Daily Beast,digital_politics,j_19_012,Climate,Morality,0.783,-0.328,0,1,1025,208,37,24,4.4062,0
a_00070,2025-10-21,The New York Times,legacy_mainstream,j_00_014,Health,Responsibility,-0.358,-0.306,0,1,1091,394,86,30,5.016,0
a_00071,2025-12-16,Fox News,cable_news,j_07_022,Crime,Human Interest,-0.278,-0.255,1,1,954,968,151,124,5.911,1
a_00072,2025-09-02,The Wall Street Journal,legacy_mainstream,j_02_015,Foreign Policy,Conflict,0.67,0.125,0,1,1116,137,7,14,3.6291,0
a_00073,2025-10-20,New York Post,tabloid,j_18_014,Education,Responsibility,0.487,0.223,0,0,479,295,26,21,4.4521,0
a_00074,2025-08-23,Breitbart,partisan_right,j_13_021,Technology,Episodic,-0.043,0.547,1,1,695,743,118,40,5.4825,1
a_00075,2025-11-27,BuzzFeed News,digital_viral,j_15_004,Health,Conflict,0.65,0.389,0,1,429,292,35,17,4.4932,0
a_00076,2025-10-22,The Daily Caller,partisan_right,j_14_011,Politics,Economic Consequences,-0.449,0.259,0,1,739,383,43,14,4.6522,0
a_00077,2025-09-27,Breitbart,partisan_right,j_13_004,Politics,Human Interest,-0.1,0.509,0,1,603,672,62,44,5.2601,1
a_00078,2025-09-09,BuzzFeed News,digital_viral,j_15_005,Economy,Episodic,-0.512,-0.276,1,1,652,1155,218,92,6.0496,1
a_00079,2025-11-06,The New York Times,legacy_mainstream,j_00_031,Crime,Responsibility,0.634,-0.391,0,1,613,665,106,116,5.6049,1
a_00080,2025-11-24,USA Today,legacy_mainstream,j_17_009,Elections,Responsibility,-0.264,0.208,1,0,806,355,57,34,4.8667,0
a_00081,2026-01-10,The Daily Caller,partisan_right,j_14_011,Technology,Strategy/Game,-0.283,0.92,0,1,594,1031,112,50,5.6742,1
a_00082,2025-10-15,The Daily Caller,partisan_right,j_14_014,Economy,Human Interest,0.154,0.375,0,1,595,359,52,13,4.662,0
a_00083,2025-08-28,Fox News,cable_news,j_07_012,Politics,Strategy/Game,0.619,0.169,0,1,353,194,16,13,4.0143,0
a_00084,2025-12-23,The Guardian,international,j_16_023,Health,Conflict,0.302,-0.589,0,1,548,276,36,31,4.5884,0
a_00085,2025-11-17,Fox News,cable_news,j_07_023,Foreign Policy,Conflict,0.571,0.677,1,0,493,827,46,55,5.3196,1
a_00086,2025-11-30,The New York Times,legacy_mainstream,j_00_033,Crime,Episodic,0.561,0.03,0,0,571,171,13,17,3.9435,0
a_00087,2025-08-17,New York Post,tabloid,j_18_013,Education,Strategy/Game,-0.065,0.174,1,0,525,1636,198,111,6.232,1
a_00088,2025-09-24,AP News,wire_service,j_04_012,Foreign Policy,Economic Consequences,-0.128,-0.349,0,0,789,241,75,26,4.7029,0
a_00089,2025-12-11,The Wall Street Journal,legacy_mainstream,j_02_010,Politics,Morality,0.319,-0.127,1,1,1172,397,29,13,4.5414,0
a_00090,2025-12-22,HuffPost,digital_viral,j_12_023,Climate,Conflict,0.534,-0.157,0,1,766,264,23,44,4.5046,0
a_00091,2025-10-15,AP News,wire_service,j_04_012,Elections,Strategy/Game,0.668,0.137,0,0,893,88,13,4,3.3579,0
a_00092,2025-12-18,USA Today,legacy_mainstream,j_17_015,Crime,Episodic,0.494,-0.567,0,0,840,340,85,38,4.985,0
a_00093,2025-12-24,MSNBC,cable_news,j_08_014,Politics,Human Interest,-0.301,-0.38,0,1,738,290,42,19,4.5642,0
a_00094,2025-10-07,The New York Times,legacy_mainstream,j_00_008,Elections,Human Interest,0.357,0.155,0,1,1128,212,37,15,4.3264,0
a_00095,2026-01-03,The Daily Beast,digital_politics,j_19_014,Elections,Economic Consequences,0.15,-0.254,1,0,965,498,60,33,5.0448,0
a_00096,2025-09-19,Axios,digital_politics,j_10_007,Technology,Morality,-0.095,0.422,0,1,718,491,56,41,5.0597,0
a_00097,2025-09-11,NPR,public_media,j_05_003,Climate,Human Interest,-0.138,-0.038,0,0,1079,335,47,31,4.7631,0
a_00098,2025-11-27,Breitbart,partisan_right,j_13_004,Economy,Economic Consequences,-0.107,0.379,0,1,250,852,92,107,5.6706,1
a_00099,2025-11-19,Axios,digital_politics,j_10_021,Foreign Policy,Morality,0.567,-0.023,0,1,798,237,41,36,4.5796,0
a_00100,2025-08-25,The New York Times,legacy_mainstream,j_00_016,Technology,Episodic,-0.425,-0.282,0,1,725,490,38,43,4.9541,0
a_00101,2025-12-23,BuzzFeed News,digital_viral,j_15_008,Politics,Episodic,-0.098,-0.288,0,1,887,592,109,104,5.5335,1
a_00102,2025-09-04,MSNBC,cable_news,j_08_020,Immigration,Human Interest,-0.049,-0.542,0,1,883,362,50,28,4.8002,0
a_00103,2025-12-18,Breitbart,partisan_right,j_13_026,Elections,Thematic,0.534,1.0,1,1,409,632,79,80,5.4187,1
a_00104,2025-08-02,USA Today,legacy_mainstream,j_17_008,Foreign Policy,Economic Consequences,0.516,-0.294,0,0,1234,313,24,29,4.5206,0
a_00105,2025-12-16,HuffPost,digital_viral,j_12_024,Economy,Thematic,-0.492,0.07,0,0,369,233,22,13,4.1961,0
a_00106,2025-12-15,Breitbart,partisan_right,j_13_038,Politics,Human Interest,0.455,0.541,0,1,515,475,98,39,5.199,1
a_00107,2025-12-14,NPR,public_media,j_05_012,Elections,Responsibility,0.705,-0.206,0,1,808,223,28,21,4.3342,0
a_00108,2025-11-24,AP News,wire_service,j_04_012,Elections,Economic Consequences,-0.102,0.14,0,0,643,178,27,13,4.1212,0
a_00109,2025-10-21,MSNBC,cable_news,j_08_003,Technology,Episodic,-0.856,-0.45,1,0,250,1230,122,112,5.9469,1
a_00110,2025-11-30,USA Today,legacy_mainstream,j_17_031,Immigration,Human Interest,0.028,0.092,0,1,997,468,63,54,5.1244,1
a_00111,2025-09-17,Axios,digital_politics,j_10_015,Crime,Episodic,0.737,-0.462,0,1,722,271,23,20,4.3652,0
a_00112,2025-12-14,CNN,cable_news,j_06_016,Crime,Conflict,1.0,0.01,1,1,640,338,47,6,4.4635,0
a_00113,2025-11-05,BuzzFeed News,digital_viral,j_15_023,Politics,Responsibility,-0.061,-0.667,0,1,602,570,88,98,5.4393,1
a_00114,2025-10-19,USA Today,legacy_mainstream,j_17_001,Politics,Economic Consequences,0.576,-0.107,1,1,973,384,58,25,4.8515,0
a_00115,2025-10-27,New York Post,tabloid,j_18_002,Economy,Thematic,-0.668,0.414,0,1,545,726,72,36,5.3038,1
a_00116,2025-11-07,NPR,public_media,j_05_027,Foreign Policy,Morality,0.19,-0.044,0,0,1204,477,57,20,4.9118,0
a_00117,2025-08-07,The Daily Caller,partisan_right,j_14_022,Politics,Strategy/Game,0.075,0.225,1,1,250,733,120,46,5.508,1
a_00118,2025-08-25,Vox,digital_explainer,j_11_001,Economy,Thematic,0.346,-0.542,0,1,728,415,52,23,4.842,0
a_00119,2025-09-12,MSNBC,cable_news,j_08_018,Technology,Responsibility,0.289,-0.472,1,1,501,527,64,27,5.0533,0
a_00120,2025-08-20,Fox News,cable_news,j_07_016,Economy,Conflict,0.686,0.397,0,1,405,448,118,24,5.131,1
a_00121,2025-10-16,The Wall Street Journal,legacy_mainstream,j_02_011,Politics,Economic Consequences,-0.355,-0.308,1,1,934,1148,111,111,5.8826,1
a_00122,2025-11-24,NPR,public_media,j_05_010,Climate,Economic Consequences,0.309,-0.203,0,1,827,301,59,62,4.9121,0
a_00123,2025-11-22,Axios,digital_politics,j_10_001,Health,Thematic,0.103,0.128,0,1,582,323,29,36,4.6329,0
a_00124,2025-10-21,USA Today,legacy_mainstream,j_17_023,Climate,Thematic,-0.551,-0.121,0,0,942,466,79,61,5.2132,1
a_00125,2025-12-26,USA Today,legacy_mainstream,j_17_013,Elections,Morality,-0.27,0.081,0,1,1043,558,97,34,5.2496,1
a_00126,2025-11-06,Reuters,wire_service,j_03_033,Politics,Thematic,0.361,0.056,0,1,707,163,18,13,3.9611,0
a_00127,2025-08-14,Breitbart,partisan_right,j_13_015,Elections,Economic Consequences,0.196,0.515,0,1,588,540,48,50,5.1006,1
a_00128,2025-12-11,The Washington Post,legacy_mainstream,j_01_021,Elections,Strategy/Game,-0.086,-0.634,1,1,900,1422,97,76,5.8745,1
a_00129,2025-11-08,Breitbart,partisan_right,j_13_005,Foreign Policy,Morality,0.138,0.683,1,0,719,842,92,51,5.5185,1
a_00130,2025-11-18,CNN,cable_news,j_06_006,Immigration,Economic Consequences,0.159,-0.338,1,0,287,382,62,43,4.9738,0
a_00131,2025-11-06,MSNBC,cable_news,j_08_021,Climate,Human Interest,-0.075,-0.445,0,1,733,470,44,60,5.0416,0
a_00132,2025-11-04,The Daily Caller,partisan_right,j_14_009,Immigration,Morality,-0.316,0.67,1,0,539,583,82,45,5.2763,1
a_00133,2025-08-16,MSNBC,cable_news,j_08_011,Immigration,Human Interest,0.616,0.054,0,1,827,377,30,15,4.5522,0
a_00134,2025-11-05,The Guardian,international,j_16_021,Politics,Economic Consequences,0.451,-0.31,0,1,1066,221,28,14,4.2531,0
a_00135,2025-12-16,Axios,digital_politics,j_10_016,Elections,Human Interest,-0.051,0.189,1,0,1011,413,37,15,4.6587,0
a_00136,2025-09-22,The Daily Beast,digital_politics,j_19_030,Climate,Economic Consequences,-0.039,-0.561,0,0,618,342,45,26,4.7266,0
a_00137,2025-11-13,HuffPost,digital_viral,j_12_007,Education,Thematic,-0.042,-0.139,0,1,413,363,41,31,4.763,0
a_00138,2025-08-06,NPR,public_media,j_05_024,Crime,Morality,0.111,-0.215,0,0,426,155,14,10,3.8169,0
a_00139,2025-09-30,BuzzFeed News,digital_viral,j_15_036,Politics,Conflict,0.547,0.257,0,1,553,266,29,22,4.4411,0
a_00140,2025-10-15,MSNBC,cable_news,j_08_012,Technology,Responsibility,-0.499,-0.435,1,1,725,1067,104,98,5.802,1
a_00141,2026-01-18,Axios,digital_politics,j_10_002,Technology,Thematic,-0.171,-0.01,0,0,918,236,20,20,4.2563,0
a_00142,2025-09-07,The Wall Street Journal,legacy_mainstream,j_02_021,Crime,Human Interest,-0.101,0.465,0,1,523,368,73,15,4.8011,0
a_00143,2025-09-17,The Wall Street Journal,legacy_mainstream,j_02_014,Health,Episodic,-0.235,0.177,0,1,748,553,66,36,5.1422,1
a_00144,2025-10-10,Vox,digital_explainer,j_11_012,Economy,Responsibility,0.644,-0.527,0,1,886,150,9,14,3.741,0
a_00145,2026-01-19,Reuters,wire_service,j_03_031,Technology,Strategy/Game,0.118,0.638,0,1,655,252,27,41,4.5139,0
a_00146,2025-12-26,The Daily Beast,digital_politics,j_19_021,Crime,Human Interest,0.212,-0.47,1,1,283,525,98,34,5.2223,1
a_00147,2025-08-07,USA Today,legacy_mainstream,j_17_017,Elections,Conflict,-0.153,-0.066,1,0,641,472,49,46,5.0232,0
a_00148,2025-09-10,The Daily Caller,partisan_right,j_14_015,Politics,Human Interest,-0.229,0.637,1,1,808,843,193,97,5.8664,1
a_00149,2025-12-21,The Daily Caller,partisan_right,j_14_008,Health,Thematic,0.088,0.617,0,0,250,397,40,27,4.7737,0
a_00150,2025-08-11,Vox,digital_explainer,j_11_003,Health,Episodic,0.058,-0.297,1,1,770,602,97,79,5.4529,1
a_00151,2025-12-27,The Washington Post,legacy_mainstream,j_01_030,Technology,Episodic,-0.646,-0.196,0,1,809,876,170,119,5.8883,1
a_00152,2025-09-18,Fox News,cable_news,j_07_017,Technology,Thematic,-0.088,0.291,0,1,575,523,83,77,5.3313,1
a_00153,2026-01-06,Politico,digital_politics,j_09_005,Immigration,Human Interest,0.16,-0.229,0,1,724,199,17,19,4.1154,0
a_00154,2025-09-20,New York Post,tabloid,j_18_011,Elections,Human Interest,0.535,0.738,0,1,534,515,50,124,5.2683,1
a_00155,2025-10-15,AP News,wire_service,j_04_029,Health,Thematic,-0.347,-0.055,1,0,752,449,92,25,5.066,0
a_00156,2025-11-23,Politico,digital_politics,j_09_001,Immigration,Responsibility,-0.473,0.199,0,0,801,253,26,54,4.5589,0
a_00157,2025-08-22,CNN,cable_news,j_06_021,Politics,Human Interest,-0.349,-0.184,1,1,584,789,150,86,5.7344,1
a_00158,2025-11-05,The Wall Street Journal,legacy_mainstream,j_02_013,Economy,Human Interest,-0.329,0.111,0,1,887,395,46,57,4.9578,0
a_00159,2025-10-27,The Wall Street Journal,legacy_mainstream,j_02_018,Crime,Thematic,0.471,0.086,0,0,799,165,23,10,3.989,0
a_00160,2025-12-14,Fox News,cable_news,j_07_005,Politics,Conflict,-0.465,-0.037,1,1,1009,2922,243,331,6.8004,1
a_00161,2026-01-20,The Washington Post,legacy_mainstream,j_01_021,Climate,Conflict,0.215,-0.19,0,0,1072,237,26,36,4.4471,0
a_00162,2025-11-23,The Washington Post,legacy_mainstream,j_01_007,Immigration,Strategy/Game,0.728,-0.252,0,1,1099,384,38,17,4.6538,0
a_00163,2025-10-10,Fox News,cable_news,j_07_022,Education,Conflict,0.252,0.643,0,1,390,373,55,26,4.8289,0
a_00164,2025-10-10,AP News,wire_service,j_04_001,Technology,Economic Consequences,0.119,-0.299,1,1,456,437,61,11,4.7762,0
a_00165,2025-10-12,Vox,digital_explainer,j_11_014,Climate,Thematic,-0.543,-0.394,0,0,908,666,106,45,5.419,1
a_00166,2025-12-19,The New York Times,legacy_mainstream,j_00_021,Crime,Morality,-0.031,-0.475,0,1,704,386,44,19,4.7204,0
a_00167,2025-09-25,CNN,cable_news,j_06_009,Politics,Strategy/Game,0.731,0.261,0,0,519,196,19,13,4.0681,0
a_00168,2025-08-29,Politico,digital_politics,j_09_004,Politics,Morality,0.28,-0.167,0,1,1078,221,32,71,4.6056,0
a_00169,2025-09-27,The Daily Beast,digital_politics,j_19_006,Immigration,Conflict,0.481,-0.059,0,1,909,200,19,35,4.2671,0
a_00170,2025-08-04,HuffPost,digital_viral,j_12_010,Elections,Economic Consequences,-0.085,0.043,0,0,575,401,79,15,4.8674,0
a_00171,2025-08-19,USA Today,legacy_mainstream,j_17_002,Politics,Episodic,0.23,-0.087,0,1,1096,229,30,22,4.3763,0
a_00172,2025-08-16,CNN,cable_news,j_06_027,Climate,Conflict,0.006,-0.444,0,1,690,237,29,26,4.4157,0
a_00173,2025-12-12,MSNBC,cable_news,j_08_009,Education,Responsibility,0.356,-0.641,0,1,630,799,127,50,5.5843,1
a_00174,2025-12-03,MSNBC,cable_news,j_08_017,Foreign Policy,Human Interest,0.918,-0.085,0,0,458,109,14,9,3.6232,0
a_00175,2025-11-29,USA Today,legacy_mainstream,j_17_025,Technology,Human Interest,-0.005,-0.365,0,1,754,379,29,32,4.6897,0
a_00176,2025-10-19,The Daily Beast,digital_politics,j_19_002,Climate,Thematic,-0.24,-0.102,0,1,790,785,73,30,5.3115,1
a_00177,2025-12-03,The Daily Beast,digital_politics,j_19_020,Immigration,Responsibility,-0.56,-0.171,0,0,862,366,72,16,4.8065,0
a_00178,2025-08-28,BuzzFeed News,digital_viral,j_15_035,Foreign Policy,Responsibility,-0.255,0.044,0,1,567,335,47,27,4.7364,0
a_00179,2026-01-03,Axios,digital_politics,j_10_024,Politics,Human Interest,0.416,0.168,1,0,400,226,17,18,4.1685,0
a_00180,2025-10-26,Axios,digital_politics,j_10_011,Elections,Morality,0.041,-0.183,0,0,605,144,22,8,3.8685,0
a_00181,2026-01-10,The Daily Beast,digital_politics,j_19_008,Politics,Strategy/Game,0.189,-0.444,0,0,839,349,39,17,4.6137,0
a_00182,2025-08-27,NPR,public_media,j_05_001,Foreign Policy,Conflict,0.697,-0.021,0,1,911,186,19,13,4.0421,0
a_00183,2025-10-26,CNN,cable_news,j_06_011,Politics,Economic Consequences,0.595,-0.257,0,1,1003,422,38,49,4.9052,0
a_00184,2025-11-29,USA Today,legacy_mainstream,j_17_024,Economy,Responsibility,0.09,-0.738,0,0,985,384,74,27,4.9383,0
a_00185,2025-10-25,Fox News,cable_news,j_07_026,Politics,Responsibility,-0.021,0.512,1,0,715,944,64,158,5.6917,1
a_00186,2025-10-17,AP News,wire_service,j_04_002,Crime,Conflict,0.571,-0.259,1,0,494,113,11,6,3.5028,0
a_00187,2025-08-29,Vox,digital_explainer,j_11_015,Health,Episodic,-0.088,-0.133,0,1,1049,418,59,34,4.9583,0
a_00188,2025-10-05,CNN,cable_news,j_06_009,Politics,Responsibility,0.028,0.248,0,1,594,471,111,29,5.1743,1
a_00189,2025-09-11,USA Today,legacy_mainstream,j_17_026,Crime,Economic Consequences,0.474,-0.046,0,1,705,408,67,41,5.0202,0
a_00190,2025-09-22,New York Post,tabloid,j_18_002,Crime,Episodic,0.456,0.449,0,1,250,390,39,20,4.6999,0
a_00191,2025-11-27,CNN,cable_news,j_06_022,Education,Thematic,0.489,-0.062,0,1,755,193,45,38,4.5152,0
a_00192,2025-11-18,Axios,digital_politics,j_10_029,Elections,Morality,0.382,0.447,1,0,871,447,38,14,4.6931,0
a_00193,2025-11-14,The Daily Beast,digital_politics,j_19_005,Immigration,Human Interest,0.395,-0.466,0,1,623,307,46,54,4.8216,0
a_00194,2025-10-02,The Daily Caller,partisan_right,j_14_002,Politics,Human Interest,-0.271,0.548,0,1,699,819,131,64,5.6544,1
a_00195,2026-01-14,AP News,wire_service,j_04_013,Health,Responsibility,0.258,0.168,0,1,692,181,18,18,4.0742,0
a_00196,2025-08-16,Vox,digital_explainer,j_11_007,Elections,Conflict,0.333,-0.298,0,1,905,231,40,33,4.5427,0
a_00197,2025-09-29,HuffPost,digital_viral,j_12_018,Politics,Morality,0.369,0.088,0,0,584,128,14,15,3.7968,0
a_00198,2025-08-21,Breitbart,partisan_right,j_13_015,Crime,Conflict,0.757,0.542,1,1,352,777,134,40,5.5427,1
a_00199,2025-09-28,The New York Times,legacy_mainstream,j_00_021,Elections,Conflict,0.565,0.267,0,1,991,598,43,60,5.1551,1
a_00200,2026-01-14,NPR,public_media,j_05_014,Elections,Morality,0.972,0.331,1,1,786,329,50,62,4.9077,0
a_00201,2025-10-03,USA Today,legacy_mainstream,j_17_016,Crime,Strategy/Game,0.828,0.021,1,1,648,391,46,19,4.7398,0
a_00202,2026-01-05,AP News,wire_service,j_04_003,Immigration,Thematic,0.303,0.138,1,1,410,401,81,86,5.2134,1
